"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"first_time_encounter|2"	"Here are some Poké Balls. These will help you catch one!"	"さっそく、このモンスターボールを使って、1匹捕まえてくれ！"	"Voici quelques Poké Balls. Elles t’aideront à en attraper un."	"Aquí tienes algunas Poké Balls. ¡Te ayudarán a capturarlo!"	"Hier sind einige Pokébälle, die dir beim Fangen eines Pokémon helfen!"	"Ecco delle Poké Ball. Con queste potrai catturarlo!"	"바로 이 몬스터볼을 사용해서 1마리 잡아보게!"	"這裡有一些精靈球。用精靈球去捕捉寶可夢吧！"	"Aqui estão algumas Poké Bolas. Elas ajudarão você a pegar um!"
"onboard_caught_pokemon|1"	"Congratulations!\nYou've caught your first Pokémon!"	"おめでとう！\n初めてのポケモンを捕まえたようだね。"	"Félicitations !\nTu as attrapé ton premier Pokémon."	"¡Enhorabuena!\n¡Has capturado tu primer Pokémon!"	"Glückwunsch!\nDu hast dein erstes Pokémon gefangen!"	"Complimenti!\nHai catturato il tuo primo Pokémon!"	"축하해!\n첫 포켓몬을 잡았군."	"恭喜！\n你捉到你的第一隻寶可夢了！"	"Parabéns!\nVocê pegou seu primeiro Pokémon!"
"onboard_caught_pokemon|2"	"You are such a talented Pokémon Trainer!\nWhat should I call you?"	"きみにはポケモントレーナーの才能があるよ！\nきみのことをなんて呼べばいいかな？"	"Tu as du talent !\nQuel est ton nom ?"	"¡Tienes un gran talento como Entrenador Pokémon!\n¿Cómo debería llamarte?"	"Du bist ein begabter Pokémon-Trainer!\nWie soll ich dich nennen?"	"Si vede che hai la stoffa dell'Allenatore!\nCome ti chiami?"	"너에겐 포켓몬 트레이너의 재능이 있어!\n 널 뭐라고 부르면 좋을까?"	"你真是個有潛力的訓練家！\n我該怎麼稱呼你？"	"Você é um Treinador de Pokémon talentoso!\nComo se chama?"
"onboard_change_name|1"	"Hi, Trainer! What should I call you, again?"	"もういちど、別のニックネームを教えてくれないかな？"	"Bonjour, Dresseur ! Comment t’appelles-tu ?"	"¡Hola! ¿Cómo dices que debería llamarte?"	"Hi Trainer! Wie soll ich dich nochmal nennen?"	"Ciao, Allenatore! Come hai detto che ti chiami?"	"다시 다른 닉네임을 알려주지 않을래?"	"訓練家你好！我該怎麼稱呼你？"	"Oi! Como você se chama mesmo?"
"onboard_name_registered|1"	"Oh, what a cool nickname!\nNice to meet you!"	"いいニックネームだね、よろしくな！"	"Joli nom !\nC'est un plaisir de te rencontrer."	"Qué nombre tan interesante.\n¡Encantado de conocerte!"	"Ah, ein toller Spitzname!\nFreut mich, dich kennenzulernen!"	"Wow! Che bel nome!\nPiacere di conoscerti!"	"좋은 닉네임이군.\n잘 부탁해!"	"真是個好名字！\n以後也請多多指教囉！"	"Que nome legal!\nPrazer em conhecer você!"
"onboard_name_registered|2"	"You will need more Poké Balls and other useful items during your exploration."	"探検中、モンスターボールや他の道具も必要になると思うが、"	"Tu auras besoin de Poké Balls et d’autres objets utiles lors de tes explorations."	"Vas a necesitar más Poké Balls y otros objetos que te vendrán muy bien durante tu exploración."	"Auf deiner Entdeckungsreise benötigst du mehr Pokébälle und andere nützliche Items."	"Durante le tue esplorazioni ti occorreranno più Poké Ball e altri strumenti."	"탐험 중 몬스터볼이나 다른 도구도 필요하겠지"	"在探險的路上，你會用到精靈球和其他的道具。"	"Você precisará de mais Poké Bolas e de outros itens durante a sua exploração."
"visit_a_pokestop|1"	"You can find items at PokéStops."	"世界中の記念碑やランドマークなどにあるポケストップで見つけられるから、"	"Tu trouveras ces objets dans les PokéStops."	"Puedes encontrar objetos en las Poképaradas."	"Items findest du bei PokéStops."	"Puoi trovarne presso i Pokéstop."	"전 세계의 기념비나 랜드마크 등에 있는 포켓스톱에서 발견할 수 있으니"	"你可以在寶可補給站得到這些道具。"	"Itens podem ser encontrados em Poképaradas."
"visit_a_pokestop|2"	"They're found at interesting places like sculptures and monuments."	"いろいろな場所を訪ねてみるといい。"	"Ils se trouvent dans des endroits tels que des créations artistiques publiques ou des monuments."	"Están situadas en lugares interesantes, como en esculturas y monumentos."	"Diese befinden sich an interessanten Orten wie Skulpturen oder Baudenkmälern."	"Troverai i Pokéstop presso luoghi d'interesse storico e monumenti."	"다양한 장소를 방문해보는 게 좋아"	"路上的雕像、紀念碑等等，都有可能是寶可補給站喔。"	"Elas estão situadas em pontos interessantes, como esculturas e monumentos."
"visit_a_pokestop|3"	"From now on, you'll be off exploring all over the world. I hope you get out there and catch Pokémon—and register them in your Pokédex!"	"これから地球のあらゆる場所を探検し、ポケモンを捕まえて、ポケモン図鑑へ記録していって欲しい！"	"À compter de maintenant, tu vas explorer le monde entier. J’espère que tu sortiras attraper des Pokémon, et que tu rempliras ton Pokédex !"	"A partir de ahora, podrás salir a explorar por todo el mundo. Espero que salgas y captures Pokémon, ¡y que los registres en tu Pokédex!"	"Geh jetzt überall auf der Welt auf Entdeckungsreise, um Pokémon zu fangen und sie in deinem Pokédex zu registrieren!"	"Ora tocca a te esplorare il mondo che ti circonda. Non perdere tempo e inizia a catturare tanti Pokémon per registrarli nel tuo Pokédex!"	"앞으로 지구 곳곳을 탐험해서 포켓몬을 잡고 포켓몬 도감으로 기록하길 바란다!"	"接下來，請你去世界各地探險，並把捕捉到的寶可夢登錄在寶可夢圖鑑上！"	"A partir de agora, você poderá explorar o mundo todo. Espero que saia por aí pegando Pokémon e os registrando no seu Pokédex!"
"visit_a_pokestop|4"	"It's time to GO!"	"さぁ、ポケモンを探す旅へ GO！"	"À tes marques, prêt, GO !"	"¡Ya es hora de salir a explorar!"	"Los geht‘s – GO!"	"Pronti... GO!"	"자, 포켓몬 찾으러 GO!"	"來去尋找寶可夢吧！"	"Vamos nessa!"
"__backup__"	"Great job! Looks like you’ve caught {0}, a {1}-type Pokémon!"	"ナイス！{1}タイプのポケモン、{0}を捕まえたようだね。"	"Excellent ! On dirait que tu as attrapé {0}, un Pokémon de type {1}."	"¡Buen trabajo! ¡Parece que has capturado a {0}, un Pokémon de tipo {1}!"	"Gut gemacht! Du hast {0} gefangen, ein Pokémon vom Typ {1}!"	"Grande! A quanto pare, hai catturato {0}, un Pokémon di tipo {1}!"	"좋았어! {1} 타입의 포켓몬, {0} (을)를 잡았구나."	"厲害！看來你捉到 {1} 屬性的 {0} 了！"	"Bom trabalho! Parece que pegou {0}, um Pokémon de tipo {1}!"
"first_time_gym_low_level|1"	"This is a Gym, a place where you'll test your skills at Pokémon battles."	"ここはジム。ポケモンバトルの腕を競う場所だ。"	"Ceci est une Arène, un lieu où tu montreras ta valeur dans des combats de Pokémon."	"Esto es un Gimnasio, un lugar donde pondrás a prueba tus habilidades en combates Pokémon."	"Dies ist eine Arena. Hier testest du dein Können in Pokémon-Kämpfen."	"Questa è una Palestra, il luogo dove metterai alla prova la tua abilità nelle lotte Pokémon."	"이곳은 체육관. 포켓몬 배틀의 실력을 겨루는 장소지."	"這裡是道館，你可以在此測試寶可夢對戰的技巧。"	"Isto é um Ginásio, um lugar onde você pode pôr à prova suas habilidades em batalhas Pokémon."
"first_time_gym_low_level|2"	"You need more experience as a Pokémon Trainer."	"きみはまだポケモントレーナーとしての経験が浅いようだね。"	"Il te faut plus d’expérience en tant que Dresseur de Pokémon."	"Parece que todavía no tienes mucha experiencia como Entrenador Pokémon."	"Du scheinst noch nicht sehr viel Erfahrung als Pokémon-Trainer zu haben."	"Non hai molta esperienza come Allenatore, vero?"	"넌 아직 포켓몬 트레이너로서 경험이 별로 없나 보군."	"看來你身為寶可夢訓練家的經驗還不是很豐富。"	"Você precisa de mais experiência como Treinador de Pokémon."
"first_time_gym_low_level|3"	"Come back when you've reached level {0}!"	"レベル{0}になってからまた来てくれ。"	"Reviens lorsque tu auras atteint le niveau {0} !"	"¡Vuelve cuando hayas alcanzado el nivel {0}!"	"Komme zurück, wenn du Level {0} erreicht hast!"	"Ritorna quando avrai raggiunto il livello {0}!"	"레벨 {0} (이)가 되면 다시 와줘."	"等你升到 {0} 級的時候再來吧！"	"Volte quando alcançar o nível {0}!"
"first_time_gym_team_intro|1"	"Looks like you've gained experience as a Pokémon Trainer!"	"やぁ！ポケモンをたくさん捕まえて、ポケモントレーナーとしての経験を積んできたようだね。すばらしい！"	"On dirait que tu as gagné de l'expérience en tant que Dresseur."	"¡Parece que has ganado mucha experiencia como Entrenador Pokémon!"	"Wow! Du hast jede Menge Pokémon gefangen und viel Erfahrung als Pokémon-Trainer gesammelt! Gut gemacht!"	"Wow! Hai catturato un bel po' di Pokémon e accumulato un sacco di esperienza come Allenatore. Complimenti!"	"안녕! 포켓몬을 많이 잡아서 포켓몬 트레이너로서 경험을 쌓았구나. 훌륭해!"	"哇！看來你捉了不少寶可夢，而且還累積了不少寶可夢訓練家的經驗值呢。真是太棒了！"	"Parece que você adquiriu experiência como um Treinador de Pokémon!"
"first_time_gym_team_intro|2"	"You're ready to participate in Pokémon battles!"	"きみも、いよいよポケモンバトルへ参加する準備が整ったようだね！"	"Tu es prêt à participer à des combats Pokémon."	"¡Creo que ya es hora de que empieces a participar en combates Pokémon!"	"Du bist bereit, an Pokémon-Kämpfen teilzunehmen!"	"Vorrà dire che hai tutte le carte in regola per affrontare delle lotte Pokémon!"	"너도 드디어 포켓몬 배틀로 참가할 준비가 된 것 같구나!"	"看來你已經做好參加寶可夢對戰的準備了！"	"Está na hora de participar de batalhas Pokémon!"
"first_time_gym_team_intro|3"	"I have three excellent assistants."	"わたしには3人の、とても優秀な助手がいて……"	"J’ai trois excellents assistants."	"Tengo tres ayudantes excelentes."	"Ich habe drei hervorragende Assistenten."	"Ho tre magnifici assistenti."	"나에겐 3명의 아주 우수한 조수가 있지"	"我有3位非常優秀的助手…"	"Eu tenho três ótimos assistentes."
"first_time_gym_team_intro|4"	"They each lead a team, and each has a slightly different approach to researching Pokémon."	"かれらは自分のチームを率いて、それぞれ違うテーマでポケモンを研究しているんだ。"	"Chacun est le capitaine d’une équipe, mais chacun utilise une méthode différente pour étudier les Pokémon."	"Cada uno de ellos dirige un equipo, y cada uno tiene un enfoque particular en la investigación de Pokémon."	"Jeder von ihnen leitet ein Team und hat eine andere Vorgehensweise bei der Erforschung von Pokémon."	"Gestiscono tre squadre differenti e ciascuno di essi ha un approccio particolare alla ricerca Pokémon."	"그들은 자신의 팀을 이끌고 각각 다른 주제로 포켓몬을 연구하고 있지."	"他們各自帶領一支隊伍，在不同領域研究寶可夢。"	"Cada um dirige uma equipe e possui um método diferente para pesquisar Pokémon."
"first_time_gym_team_intro|5"	"Part of their research is conducting Pokémon battles at Gyms."	"研究の一環としてジムでポケモンバトルを行っている。"	"Une partie de ces études consiste à effectuer des combats Pokémon dans des Arènes."	"Parte de su investigación es llevar a cabo combates Pokémon en los Gimnasios."	"Ein Teil ihrer Forschung besteht in der Ausrichtung von Pokémon-Kämpfen in Arenen."	"Ho chiesto loro di condurre delle lotte Pokémon presso delle Palestre come parte della mia ricerca."	"연구의 일환으로 체육관에서 포켓몬 배틀을 하고 있지."	"在道館裡進行寶可夢對戰，也是他們研究的一環。"	"Parte de sua pesquisa é conduzindo batalhas Pokémon nos Ginásios."
"first_time_gym_team_intro|6"	"They're excited to have you join as a team member."	"かれらはぜひきみをチームメンバーに迎え入れたいそうだ。"	"Ils sont tous enthousiastes à l’idée de t’avoir dans leur équipe."	"Están muy contentos de que te unas y seas parte de un equipo."	"Sie freuen sich schon, dich als Teammitglied begrüßen zu dürfen."	"E non vedono l'ora che tu entri a far parte di una delle loro squadre."	"그들은 널 팀 멤버로 초대하고 싶은 것 같더군."	"他們非常希望你能成為他們的一員。"	"Eles não veem a hora de você fazer parte de uma equipe."
"team_yellow_intro|1"	"Hey! The name's Spark—the leader of Team Instinct."	"ヘイ！オレの名前はスパーク、チーム インスティンクトのリーダーだ。"	"Salut ! Je m’appelle Spark, je suis le capitaine de l’équipe Intuition."	"¡Hola! Me llamo Spark, y soy el líder del Equipo Instinto."	"Hey! Ich heiße Spark – ich leite Team Intuition."	"Ciao, io sono Spark, il capo della Squadra Istinto."	"Hey! 내 이름은 스파크, 팀 인스팅트의 리더지."	"嘿！我的名字是史帕克，我是靈犀隊的隊長。"	"Ei! Me chamo Spark, sou líder da Equipe Instinto."
"team_yellow_intro|2"	"Pokémon are creatures with excellent intuition."	"ポケモンは直感がじつに優れた生き物なんだ。"	"Les Pokémon ont une excellente intuition."	"Los Pokémon son criaturas con una intuición excepcional."	"Pokémon sind Wesen mit hervorragender Intuition."	"I Pokémon sono delle creature dall'intuito eccezionale!"	"포켓몬은 직감이 아주 뛰어난 생물이야."	"寶可夢是擁有優異直覺的生物。"	"Os Pokémon são criaturas com uma intuição excepcional."
"team_yellow_intro|3"	"I bet the secret to their intuition is related to how they're hatched."	"オレはポケモンの誕生にその秘密があるんじゃないかと思ってる。"	"Je pense que ceci est lié à leur façon d'éclore."	"Yo creo que el secreto de su intuición está relacionado con la forma en que han nacido."	"Ich wette, dass das Geheimnis ihrer Intuition damit zusammenhängt, wie sie ausgebrütet werden."	"Scommetto che il segreto del loro intuito ha a che fare con il modo in cui nascono."	"난 포켓몬의 탄생에 그 비밀이 있다고 생각해."	"我想這優越直覺的祕密，一定和牠們誕生的過程有關。"	"Acho que o segredo da intuição deles tem a ver com a forma como nascem."
"team_yellow_intro|4"	"That's why I'm researching Pokémon I've hatched from Eggs."	"だからタマゴから孵ったポケモンを研究しているんだ。"	"C’est pour cela que j’étudie des Pokémon que j’ai fait éclore."	"Por eso estoy investigando los Pokémon que he hecho eclosionar de Huevos."	"Komm und tritt meinem Team bei!"	"Per questo motivo, preferisco studiare i Pokémon che ho fatto io stesso schiudere da un Uovo."	"알에서 부화한 포켓몬을 연구하고 있어."	"所以我研究的對象是從蛋孵化的寶可夢。"	"É por isso que estou pesquisando os Pokémon que chocaram de Ovos."
"team_yellow_intro|4"	"Come on and join my team!"	"だからタマゴから孵ったポケモンを研究しているんだ。"	"C’est pour cela que j’étudie des Pokémon que j’ai fait éclore."	"Por eso estoy investigando los Pokémon que he hecho eclosionar de Huevos."	"Komm und tritt meinem Team bei!"	"Per questo motivo, preferisco studiare i Pokémon che ho fatto io stesso schiudere da un Uovo."	"알에서 부화한 포켓몬을 연구하고 있어."	"所以我研究的對象是從蛋孵化的寶可夢。"	"É por isso que estou pesquisando os Pokémon que chocaram de Ovos."
"team_yellow_intro|5"	"You never lose when you trust your instincts!"	"直感を信じれば百戦百勝だ！"	"Tu ne perdras pas si tu suis ton instinct !"	"¡Nunca pierdes cuando sigues tus instintos!"	"Du kannst nicht verlieren, wenn du dich auf deine Intuition verlässt!"	"Non puoi mai perdere quando segui l'istinto!"	"자신의 직감을 믿으면 백전백승이지!"	"相信你的直覺，就能百戰百勝！"	"Você nunca perde quando segue seus instintos!"
"team_blue_intro|1"	"I am Blanche, leader of Team Mystic."	"わたしはブランシェ。チーム ミスティックのリーダー。"	"Je m’appelle Blanche, je suis capitaine de l’équipe Sagesse."	"Yo soy Blanche, líder del Equipo Sabiduría."	"Ich bin Blanche – ich leite Team Weisheit."	"Io sono Blanche, il capo della squadra Saggezza."	"난 블랑쉬야. 팀 미스틱의 리더지."	"我是布蘭雪，叡智隊的隊長。"	"Me chamo Blanche, líder da Equipe Sabedoria."
"team_blue_intro|2"	"The wisdom of Pokémon is immeasurably deep."	"ポケモンの知恵は計り知れないほど深い…"	"La sagesse des Pokémon est incommensurable."	"La inteligencia de los Pokémon es verdaderamente grande."	"Die Weisheit von Pokémon ist unermesslich."	"La saggezza dei Pokémon è incommensurabile."	"포켓몬의 지혜는 끝이 없을 정도로 깊어..."	"寶可夢的知識博大精深。"	"A sabedoria dos Pokémon é imensurável."
"team_blue_intro|3"	"I am researching why it is that they evolve."	"そんなかれらが進化する理由、それを研究している。"	"Je poursuis des recherches sur ce qui les fait évoluer."	"Estoy investigando por qué evolucionan."	"Ich erforsche, warum sie sich entwickeln."	"Io studio il motivo per cui si evolvono."	"그런 그들이 진화하는 이유 그걸 연구하고 있어."	"我在研究牠們進化的理由。"	"Estou pesquisando o motivo pelo qual evoluem."
"team_blue_intro|4"	"My team?"	"わたしのチーム？"	"Mon équipe ?"	"¿Mi equipo?"	"Mein Team?"	"Il punto di forza della mia squadra?"	"우리 팀?"	"我的隊伍？"	"Minha equipe?"
"team_blue_intro|5"	"With our calm analysis of every situation, we can't lose!"	"冷静に分析すれば、負けることなどありえない..."	"Elle est sûre de gagner, grâce à son analyse de toutes les situations !"	"Con nuestro sereno análisis de todas las situaciones, ¡no podemos perder!"	"Aufgrund unserer besonnenen Analyse jeder Situation sind wir unschlagbar!"	"Se analizzi con calma ogni situazione, non potrai mai perdere!"	"냉정하게 분석하면 지지 않을 거야..."	"只要冷靜分析，我們絕對不會輸…！"	"Analisamos com calma toda situação, não podemos perder!"
"team_red_intro|1"	"I'm Candela—Team Valor's leader!"	"わたしはキャンデラ、チーム ヴァーラーのリーダーよ！"	"Je m’appelle Candela, je suis capitaine de l’équipe Bravoure."	"Yo soy Candela, líder del Equipo Valor."	"Ich bin Candela – ich leite Team Wagemut!"	"Mi chiamo Candela e sono a capo della Squadra Coraggio!"	"난 칸델라, 팀 발로의 리더야!"	"我叫坎迪拉，是武勇隊的隊長！"	"Me chamo Candela, sou líder da Equipe Valor!"
"team_red_intro|2"	"Pokémon are stronger than humans, and they're warmhearted, too!"	"ポケモンは人間よりも強くて、心が熱いの！"	"Les Pokémon sont plus forts que les humains, et plus chaleureux aussi..."	"Los Pokémon son más fuertes que los humanos, ¡y bondadosos también!  "	"Pokémon sind stärker als Menschen. Außerdem sind sie sehr warmherzig!"	"I Pokémon sono più forti degli esseri umani. Non solo, sono anche più coraggiosi."	"포켓몬은 사람보다 강하고 마음이 뜨겁지!"	"寶可夢比人類還堅強、還熱心！"	"Os Pokémon são mais fortes que os humanos e são bondosos também!"
"team_red_intro|3"	"I'm researching ways to enhance Pokémon's natural power in the pursuit of true strength."	"わたしはポケモンの強化を研究して、かれらと一緒に真の強さを探求しているわ。"	"J’étudie une méthode permettant d’améliorer les pouvoirs naturels des Pokémon."	"Estoy investigando las formas de mejorar el poder natural de los Pokémon para conseguir una fortaleza verdadera. "	"Ich erforsche, wie die natürliche Kraft der Pokémon vergrößert werden kann, um wahre Stärke zu erreichen."	"La mia ricerca ha a che fare con l'innato potere dei Pokémon e la loro vera forza."	"난 포켓몬 강화를 연구하고 그들과 같이 진정한 강함을 탐구하고 있어."	"我在研究強化寶可夢能力的方法，尋求牠們真正的力量。"	"Estou pesquisando formas de aprimorar o poder natural dos Pokémon na busca do poder verdadeiro."
"team_red_intro|4"	"There's no doubt that the Pokémon our team have trained are the strongest in battle!"	"このチームの鍛え上げられたポケモンがバトルで最強なのは間違いないわ！"	"C’est sûr, les Pokémon dressés par notre équipe sont les plus costauds au combat."	"¡No hay duda de que los Pokémon que nuestro equipo ha entrenado son los más fuertes en combate!"	"Es besteht kein Zweifel, dass die von unserem Team trainierten Pokémon die stärksten im Kampf sind!"	"I Pokémon allenati dalla mia squadra sono sicuramente i più forti, non ci sono dubbi!"	"이 팀의 단련된 포켓몬이 배틀에서 최강인 건 틀림없어!"	"我們隊伍訓練出來的寶可夢在對戰中絕對是所向披靡！"	"Não há dúvidas de que os Pokémon que nossa equipe treinou são os mais fortes em batalha!"
"team_red_intro|5"	"Are you ready?"	"準備はいい？"	"Tu es prêt ?"	"¿Todo listo?"	"Bist du bereit?"	"Te la senti?"	"준비는 됐어?"	"你準備好了嗎？"	"Está pronto?"
"team_yello_welcom|1"	"Nice choice! I knew you would join up with us! Get out there and have some fun in Pokémon battles!"	"グッドチョイス！来てくれると思ってたぜ。ポケモンバトルを楽しもうぜ！"	"Bien ! Très bon choix ! Passons à l’offensive et amusons-nous dans des combats Pokémon !"	"¡Buena elección! Sabía que te unirías a nosotros. ¡Sal a divertirte en combates Pokémon!"	"Eine gute Wahl! Ich wusste, dass du dich uns anschließen würdest! Mache dich auf den Weg und habe viel Spaß bei Pokémon-Kämpfen!"	"Evviva! Miriamo alla vetta e sconfiggiamo più Palestre possibili, d'accordo?"	"굿 초이스! 와줄 거라 생각했어! 포켓몬 배틀도 즐기자!"	"你的選擇是對的！我就知道你會加入我這一隊！一起去參加寶可夢對戰吧！"	"Boa escolha! Sabia que ia escolher a nossa equipe! Saia para se divertir em batalhas Pokémon!"
"team_blue_welcom|1"	"The only logical choice. Remember to stay cool and calm in battle."	"… 当然の選択だ。バトルでは冷静さを忘れるな。"	"Le choix qui s’impose. Pense à rester calme et serein pendant le combat."	"La única opción lógica. Recuerda mantenerte en calma en combate."	"Die logische Wahl. Bleibe im Kampf ruhig und besonnen."	"La scelta più logica, chiaramente. Ricorda di mantenere sempre il sangue freddo durante la lotta."	"... 당연한 선택이지. 배틀에는 냉정함을 잊지마."	"加入我這隊這是最符合邏輯的選擇。在對戰中也別忘了保持冷靜。"	"A única opção lógica. Lembre-se de ficar calmo em batalha."
"team_yello_welcom|1"	"All right! Let's aim for the top and take over as many Gyms as we can!"	"グッドチョイス！来てくれると思ってたぜ。ポケモンバトルを楽しもうぜ！"	"Bien ! Très bon choix ! Passons à l’offensive et amusons-nous dans des combats Pokémon !"	"¡Buena elección! Sabía que te unirías a nosotros. ¡Sal a divertirte en combates Pokémon!"	"Eine gute Wahl! Ich wusste, dass du dich uns anschließen würdest! Mache dich auf den Weg und habe viel Spaß bei Pokémon-Kämpfen!"	"Evviva! Miriamo alla vetta e sconfiggiamo più Palestre possibili, d'accordo?"	"굿 초이스! 와줄 거라 생각했어! 포켓몬 배틀도 즐기자!"	"你的選擇是對的！我就知道你會加入我這一隊！一起去參加寶可夢對戰吧！"	"Boa escolha! Sabia que ia escolher a nossa equipe! Saia para se divertir em batalhas Pokémon!"
"quickstart_pokestopfar|1"	"This is a PokéStop."	"これがポケストップだ。"	"Ceci est un PokéStop."	"Esto es una Poképarada."	"Dies ist ein PokéStop."	"Questo è un Pokéstop."	"이것이 포켓스톱이야."	"這是寶可補給站。"	"Isto é uma Poképarada."
"quickstart_pokestopfar|2"	"It's a real-world location where you can find Poké Balls and other items."	"モンスターボールや他の道具をみつけられる場所なんだ。"	"Il s’agit d’un endroit réel où tu peux obtenir des Poké Balls et d’autres objets."	"Es un lugar situado en el mundo real en el que puedes encontrar Poké Balls y otros objetos."	"Ein Ort in der echten Welt, an dem du Pokébälle und andere Items finden kannst."	"È un luogo del mondo reale dove puoi trovare Poké Ball e altri strumenti."	"몬스터볼이나 다른 도구를 발견할 수 있는 장소지."	"你可以在這裡找到精靈球和其他道具。"	"É um local no mundo real onde pode-se encontrar Poké Bolas e outros itens."
